  Time                  (V(MagIn))@1          (V(MagIn))@2         
  5.072649373914e-007  1.306403644162e+002  1.306403650710e+002  
  5.107149287368e-007  1.304916141185e+002  1.304916149952e+002  
  5.141649200822e-007  1.303028145852e+002  1.303028149404e+002  
  5.176149114276e-007  1.300940050263e+002  1.300940048638e+002  
  5.203749790098e-007  1.299172824171e+002  1.299172821696e+002  
  5.238249703552e-007  1.296939311459e+002  1.296939310998e+002  
  5.272749617006e-007  1.294810836068e+002  1.294810836009e+002  
  5.307249530460e-007  1.292679662579e+002  1.292679660942e+002  
  5.341749443914e-007  1.290355986992e+002  1.290355985225e+002  
  5.376249357368e-007  1.287700900650e+002  1.287700900242e+002  
  5.405363010870e-007  1.285046183203e+002  1.285046183469e+002  
  5.424150499211e-007  1.283116228872e+002  1.283116229085e+002  
  5.451751175033e-007  1.279914588137e+002  1.279914587913e+002  
  5.486251088487e-007  1.275270780317e+002  1.275270780205e+002  
  5.520751001941e-007  1.269922655268e+002  1.269922655555e+002  
  5.555250915395e-007  1.263933984614e+002  1.263933984910e+002  
  5.589750828849e-007  1.257423225849e+002  1.257423225994e+002  
  5.624250742303e-007  1.250536481620e+002  1.250536481669e+002  
  5.658750655757e-007  1.243412428893e+002  1.243412428931e+002  
  5.693250569211e-007  1.236198138629e+002  1.236198138683e+002  
  5.727750482665e-007  1.229261884701e+002  1.229261884694e+002  
  5.733569815692e-007  1.228145779621e+002  1.228145779597e+002  
  5.745207622584e-007  1.225990659602e+002  1.225990659540e+002  
  5.768483236369e-007  1.222046533893e+002  1.222046533796e+002  
  5.802983149823e-007  1.217417966807e+002  1.217417966764e+002  
  5.837483063277e-007  1.214417576557e+002  1.214417576587e+002  
  5.871982976731e-007  1.212626314052e+002  1.212626314140e+002  
  5.906482890185e-007  1.211557116118e+002  1.211557116274e+002  
  5.920751001941e-007  1.211268755393e+002  1.211268755590e+002  
  5.949286725627e-007  1.210948074580e+002  1.210948074895e+002  
  5.983786639081e-007  1.211276870478e+002  1.211276870936e+002  
  6.018286552535e-007  1.212447020656e+002  1.212447021182e+002  
  6.024150499211e-007  1.212728790200e+002  1.212728790729e+002  
  6.035877713071e-007  1.213339936112e+002  1.213339936636e+002  
  6.058650412665e-007  1.214553655921e+002  1.214553656360e+002  
  6.093150326119e-007  1.216169505819e+002  1.216169506221e+002  
  6.127650239574e-007  1.217342239407e+002  1.217342239977e+002  
  6.162150153028e-007  1.218437197825e+002  1.218437198245e+002  
  6.196650066482e-007  1.219966971341e+002  1.219966971491e+002  
  6.231149979936e-007  1.222295112495e+002  1.222295112444e+002  
  6.265649893390e-007  1.225498783460e+002  1.225498783314e+002  
  6.300149806844e-007  1.228841745050e+002  1.228841744923e+002  
  6.334649720298e-007  1.231752816371e+002  1.231752817166e+002  
  6.369149633752e-007  1.234486911336e+002  1.234486912268e+002  
  6.403649547206e-007  1.238029373750e+002  1.238029374584e+002  
  6.438149460660e-007  1.243472840812e+002  1.243472841120e+002  
  6.472649374114e-007  1.251336859649e+002  1.251336858063e+002  
  6.507149287568e-007  1.261305811231e+002  1.261305807824e+002  
  6.541649201022e-007  1.272485247390e+002  1.272485244314e+002  
  6.576149114476e-007  1.283913318444e+002  1.283913317488e+002  
  6.610649027930e-007  1.294968652403e+002  1.294968653831e+002  
  6.645148941384e-007  1.304721026218e+002  1.304721028338e+002  
  6.679648854838e-007  1.312541286769e+002  1.312541288496e+002  
  6.714148768292e-007  1.317898096625e+002  1.317898097630e+002  
  6.748648681747e-007  1.320821589042e+002  1.320821589370e+002  
  6.776249357568e-007  1.321696584744e+002  1.321696584602e+002  
  6.805363011070e-007  1.321664934368e+002  1.321664933807e+002  
  6.824150499411e-007  1.321284623895e+002  1.321284623143e+002  
  6.851751175233e-007  1.320414474842e+002  1.320414473972e+002  
  6.886251088687e-007  1.318946322344e+002  1.318946321747e+002  
  6.920751002141e-007  1.317185474612e+002  1.317185474314e+002  
  6.955250915595e-007  1.315414184180e+002  1.315414183696e+002  
  6.989750829049e-007  1.313719800383e+002  1.313719799975e+002  
  7.024250742503e-007  1.311985041583e+002  1.311985041512e+002  
  7.058750655957e-007  1.310228706357e+002  1.310228706624e+002  
  7.093250569411e-007  1.308578192849e+002  1.308578193321e+002  
  7.127750482865e-007  1.307303737450e+002  1.307303737900e+002  
  7.133569815892e-007  1.307141871412e+002  1.307141871844e+002  
  7.145207622784e-007  1.306869044693e+002  1.306869045102e+002  
  7.168483236569e-007  1.306517863521e+002  1.306517863967e+002  
